"SampleID"	"Sampling_Site"	"pH"	"Sponge_Species"	"Acidified"	"Bleaching_Status"	"Description"	"Group"	"Sample"	"Latitude"	"Longitude"	"Collection_Date"
"DNA.CAC.CC1.ITS"	"CAC"	7	"Crambe"	"Acidified"	"Normal"	"CrambeCAC"	"CC1"	"CAC.CC1"			
"DNA.CAC.CC2.ITS"	"CAC"	7	"Crambe"	"Acidified"	"Normal"	"CrambeCAC"	"CC1"	"CAC.CC2"			
"DNA.CAC.CC3.ITS"	"CAC"	7	"Crambe"	"Acidified"	"Normal"	"CrambeCAC"	"CC1"	"CAC.CC3"			
"DNA.CAC.CC4.ITS"	"CAC"	7	"Crambe"	"Acidified"	"Normal"	"CrambeCAC"	"CC1"	"CAC.CC4"			
"DNA.CAC.CC5.ITS"	"CAC"	7	"Crambe"	"Acidified"	"Normal"	"CrambeCAC"	"CC1"	"CAC.CC5"			
"DNA.CAC.CR1.ITS"	"CAC"	7	"Chondrosia"	"Acidified"	"Normal"	"ChondrosiaCAC"	"CR1"	"CAC.CR1"			
"DNA.CAC.CR2.ITS"	"CAC"	7	"Chondrosia"	"Acidified"	"Normal"	"ChondrosiaCAC"	"CR1"	"CAC.CR2"			
"DNA.CAC.CR3.ITS"	"CAC"	7	"Chondrosia"	"Acidified"	"Normal"	"ChondrosiaCAC"	"CR1"	"CAC.CR3"			
"DNA.CAC.CR4.ITS"	"CAC"	7	"Chondrosia"	"Acidified"	"Normal"	"ChondrosiaCAC"	"CR1"	"CAC.CR4"			
"DNA.CAC.CR5.ITS"	"CAC"	7	"Chondrosia"	"Acidified"	"Normal"	"ChondrosiaCAC"	"CR1"	"CAC.CR5"			
"DNA.CAC.PF1.ITS"	"CAC"	7	"Petrosia"	"Acidified"	"Normal"	"PetrosiaCAC"	"PF1"	"CAC.PF1"			
"DNA.CAC.PF3.ITS"	"CAC"	7	"Petrosia"	"Acidified"	"Normal"	"PetrosiaCAC"	"PF1"	"CAC.PF3"			
"DNA.CAC.PF5.ITS"	"CAC"	7	"Petrosia"	"Acidified"	"Normal"	"PetrosiaCAC"	"PF1"	"CAC.PF5"			
"DNA.CAC.SW1.ITS"	"CAC"	7	"Seawater"	"Acidified"	"Normal"	"SeawaterCAC"	"SW1"	"CAC.SW1"			
"DNA.CAC.SW2.ITS"	"CAC"	7	"Seawater"	"Acidified"	"Normal"	"SeawaterCAC"	"SW1"	"CAC.SW2"			
"DNA.CCO.CC1.ITS"	"CCO"	8	"Crambe"	"Control"	"Normal"	"CrambeCCO"	"CC4"	"CCO.CC1"			
"DNA.CCO.CC2.ITS"	"CCO"	8	"Crambe"	"Control"	"Normal"	"CrambeCCO"	"CC4"	"CCO.CC2"			
"DNA.CCO.CC3.ITS"	"CCO"	8	"Crambe"	"Control"	"Normal"	"CrambeCCO"	"CC4"	"CCO.CC3"			
"DNA.CCO.CC4.ITS"	"CCO"	8	"Crambe"	"Control"	"Normal"	"CrambeCCO"	"CC4"	"CCO.CC4"			
"DNA.CCO.CC5.ITS"	"CCO"	8	"Crambe"	"Control"	"Normal"	"CrambeCCO"	"CC4"	"CCO.CC5"			
"DNA.CCO.CR1.ITS"	"CCO"	8	"Chondrosia"	"Control"	"Normal"	"ChondrosiaCCO"	"CR4"	"CCO.CR1"			
"DNA.CCO.CR2.ITS"	"CCO"	8	"Chondrosia"	"Control"	"Normal"	"ChondrosiaCCO"	"CR4"	"CCO.CR2"			
