"SampleID"	"Sampling_Site"	"pH"	"Sponge_Species"	"Acidified"	"Bleaching_Status"	"Description"	"Group"	"Sample"	"Latitude"	"Longitude"	"Collection_Date"
"DNA-CAC-CC1-16S"	"CAC"	7	"Crambe"	"Yes"	"NO"	"CrambeCAC"	"CC1"	"CAC_CC1"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CC2-16S"	"CAC"	7	"Crambe"	"Yes"	"NO"	"CrambeCAC"	"CC1"	"CAC_CC2"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CC3-16S"	"CAC"	7	"Crambe"	"Yes"	"NO"	"CrambeCAC"	"CC1"	"CAC_CC3"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CC4-16S"	"CAC"	7	"Crambe"	"Yes"	"NO"	"CrambeCAC"	"CC1"	"CAC_CC4"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CC5-16S"	"CAC"	7	"Crambe"	"Yes"	"NO"	"CrambeCAC"	"CC1"	"CAC_CC5"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CR1-16S"	"CAC"	7	"Chondrosia"	"Yes"	"NO"	"ChondrosiaCAC"	"CR1"	"CAC_CR1"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CR2-16S"	"CAC"	7	"Chondrosia"	"Yes"	"NO"	"ChondrosiaCAC"	"CR1"	"CAC_CR2"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CR3-16S"	"CAC"	7	"Chondrosia"	"Yes"	"NO"	"ChondrosiaCAC"	"CR1"	"CAC_CR3"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CR4-16S"	"CAC"	7	"Chondrosia"	"Yes"	"NO"	"ChondrosiaCAC"	"CR1"	"CAC_CR4"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-CR5-16S"	"CAC"	7	"Chondrosia"	"Yes"	"NO"	"ChondrosiaCAC"	"CR1"	"CAC_CR5"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-PF1-16S"	"CAC"	7	"Petrosia"	"Yes"	"NO"	"PetrosiaCAC"	"PF1"	"CAC_PF1"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-PF2-16S"	"CAC"	7	"Petrosia"	"Yes"	"NO"	"PetrosiaCAC"	"PF1"	"CAC_PF2"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-PF3-16S"	"CAC"	7	"Petrosia"	"Yes"	"NO"	"PetrosiaCAC"	"PF1"	"CAC_PF3"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-PF4-16S"	"CAC"	7	"Petrosia"	"Yes"	"NO"	"PetrosiaCAC"	"PF1"	"CAC_PF4"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-PF5-16S"	"CAC"	7	"Petrosia"	"Yes"	"NO"	"PetrosiaCAC"	"PF1"	"CAC_PF5"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-SW1-16S"	"CAC"	7	"Seawater"	"Yes"	"NO"	"SeawaterCAC"	"SW1"	"CAC_SW1"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-SW2-16S"	"CAC"	7	"Seawater"	"Yes"	"NO"	"SeawaterCAC"	"SW1"	"CAC_SW2"	40.73198	13.96386	"09_04_2018"
"DNA-CAC-SW3-16S"	"CAC"	7	"Seawater"	"Yes"	"NO"	"SeawaterCAC"	"SW1"	"CAC_SW3"	40.73198	13.96386	"09_04_2018"
"DNA-CCO-CC1-16S"	"CCO"	8	"Crambe"	"No"	"NO"	"CrambeCCO"	"CC4"	"CCO_CC1"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CC2-16S"	"CCO"	8	"Crambe"	"No"	"NO"	"CrambeCCO"	"CC4"	"CCO_CC2"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CC3-16S"	"CCO"	8	"Crambe"	"No"	"NO"	"CrambeCCO"	"CC4"	"CCO_CC3"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CC4-16S"	"CCO"	8	"Crambe"	"No"	"NO"	"CrambeCCO"	"CC4"	"CCO_CC4"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CC5-16S"	"CCO"	8	"Crambe"	"No"	"NO"	"CrambeCCO"	"CC4"	"CCO_CC5"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CR1-16S"	"CCO"	8	"Chondrosia"	"No"	"NO"	"ChondrosiaCCO"	"CR4"	"CCO_CR1"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CR2-16S"	"CCO"	8	"Chondrosia"	"No"	"NO"	"ChondrosiaCCO"	"CR4"	"CCO_CR2"	40.73219	13.96469	"12_04_2018"
"DNA-CCO-CR3-16S"	"CCO"	8	"Chondrosia"	"No"	"NO"	"ChondrosiaCCO"	"CR4"	"CCO_CR3"	40.73219	13.96469	"12_04_2018"
