"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"CAC-CC1",34890,20578,19867,20024,19164,19045,0.454141587847521
"CAC-CC2",35753,22716,22059,22184,21482,21267,0.405168797024026
"CAC-CC3",44172,25399,25061,25097,24765,24635,0.442293760753418
"CAC-CC4",23117,13559,13290,13315,13068,12941,0.440195527101267
"CAC-CC5",27461,15689,15397,15431,15170,15062,0.451513054877827
"CAC-CR1",102607,65524,63846,64330,62297,61773,0.39796505111737
"CAC-CR2",27469,17077,16555,16687,16168,16034,0.416287451308748
"CAC-CR3",33241,16022,15549,15719,15157,15010,0.5484492042959
"CAC-CR4",67551,43943,42681,42990,41656,41260,0.389202232387381
"CAC-CR5",131897,86363,84279,84906,82110,81153,0.384724444073785
"CAC-PF1",32116,20095,19470,19651,19096,19000,0.408394569684892
"CAC-PF2",67014,40345,39884,39822,39426,39119,0.416256304652759
"CAC-PF3",106197,65408,64368,64389,63451,63015,0.406621655978982
"CAC-PF4",136652,83971,83403,83429,82387,82148,0.398852559786904
"CAC-PF5",78515,47629,46887,46777,46292,46006,0.414048271031013
"CAC-SW1",64888,47423,44505,45527,42017,41103,0.366554678831217
"CAC-SW2",93856,67722,64141,65203,60473,59149,0.369789890896693
"CAC-SW3",75192,53889,51160,52037,48507,47588,0.367113522715182
"CCO-CC1",40891,23626,23205,23232,22672,22371,0.452911398596268
"CCO-CC2",58442,33751,33269,33337,32679,32361,0.446271517059649
"CCO-CC3",93,14,7,4,2,2,0.978494623655914
"CCO-CC4",53290,29274,28804,28868,28330,27993,0.474704447363483
"CCO-CC5",66013,36597,35964,36028,35223,35023,0.469452986532956
"CCO-CR1",33788,21755,21235,21482,20806,20596,0.390434473777673
"CCO-CR2",80492,51472,50543,50817,49491,49132,0.389603935794862
"CCO-CR3",32241,19875,19385,19601,18973,18880,0.414410223007971
"CCO-CR4",16069,10284,10007,10126,9794,9654,0.399215881510984
"CCO-CR5",156068,101562,99619,100319,97369,95508,0.38803598431453
"CCO-PF1",97119,59315,58343,58660,57258,57008,0.413008783039364
"CCO-PF2",14072,8825,8539,8665,8310,8270,0.412308129619102
"CCO-PF3",29847,18798,18427,18575,18059,18002,0.396857305591852
"CCO-PF4",143389,93425,91571,92316,89270,88221,0.384743599578768
"CCO-PF5",66352,42240,41611,41861,40982,40875,0.383967325777671
"CCO-SW1",345,33,24,20,15,15,0.956521739130435
"CCO-SW2",16234,11289,10861,11040,10305,10067,0.379881729703092
"CCO-SW3",75996,53833,52428,53039,50461,49377,0.350268435180799
"GF-CC1",27773,16173,16002,16020,15826,15716,0.434126669787203
"GF-CC2",190255,118948,117805,118038,115709,114673,0.397266826101811
"GF-CC3",51690,30864,30537,30602,30187,30034,0.418959179725285
"GF-CC4",56807,34826,34530,34559,34109,33959,0.402203953738096
"GF-CC5",162114,96511,95794,95920,94539,93242,0.4248368432091
"GF-CN1",72188,44333,43289,43852,42338,41466,0.425583199423727
"GF-CN2",79578,50734,49922,50273,48935,48180,0.394556284400211
"GF-CN3",50404,31329,30652,30961,29932,29513,0.414471073724308
"GF-CN4",57466,36430,35743,36022,35026,34579,0.398270281557791
"GF-CN5",61123,38123,37364,37676,36510,35836,0.413706787952162
"GF-CR1",79997,51701,50497,51039,49294,48856,0.389277097891171
"GF-CR2",17366,11571,11307,11422,11086,10985,0.367442128296672
"GF-CR3",73632,48331,47289,47704,46271,45773,0.378354519774011
"GF-CR4",65713,43425,42504,42909,41570,41125,0.374172538158355
"GF-CR5",30006,19821,19427,19607,19074,18981,0.367426514697061
"GF-PF1",65358,37013,36630,36712,36280,36204,0.446066281097953
"GF-PF2",136347,84840,84435,84524,83502,83309,0.388992790453769
"GF-PF3",115279,70860,70135,70208,69052,68837,0.402866090094466
"GF-SW1",90527,64249,62322,62996,59947,59037,0.347852022048671
"GF-SW2",69397,48362,46870,47501,45151,44496,0.358819545513495
"GF-SW3",128597,93091,90578,91638,87416,86046,0.330886412591273
"GM-CC1",67989,40460,40072,40148,39570,39285,0.422185941843534
"GM-CC2",56743,34387,33982,34044,33402,33153,0.415734099360274
"GM-CC3",96372,57837,57411,57492,56683,56018,0.418731581787241
"GM-CC4",65830,37607,37153,37291,36587,36167,0.450600030381285
"GM-CC5",48843,29313,29073,29102,28784,28577,0.414921278381754
"GM-CN1",67259,43791,42751,43272,41920,41272,0.386372084033364
"GM-CN2",57860,37027,36326,36670,35617,35167,0.392205323193916
"GM-CN3",43539,27693,27114,27370,26509,26227,0.397620524127793
"GM-CN4",31591,20197,19790,19946,19381,19213,0.391820455192935
"GM-CN5",99185,65128,64605,64760,63977,63157,0.363240409336089
"GM-CR1",54960,35454,34300,34884,33429,33158,0.396688500727802
"GM-CR2",39147,25688,25023,25246,24408,24197,0.381893887143332
"GM-CR3",85905,55282,54346,54717,53453,53083,0.382073220417903
